	param_regressor__bootstrap	param_regressor__criterion	param_regressor__max_depth	param_regressor__max_features	param_regressor__min_samples_leaf	param_regressor__min_samples_split	param_regressor__n_estimators	mean_test_score	std_test_score	rank_test_score	mean_train_score	std_train_score	rank_train_score
16	False	squared_error	15	log2	1	11	100	17.55334950097231	1.037506835874231	17	10.706640863127465	0.07633579110794018	29
17	False	squared_error	27	log2	1	20	100	17.558912052410598	0.9627481993129521	18	11.069708765916953	0.09220750941669643	34
18	False	squared_error	16	sqrt	1	12	100	17.56656671341114	1.0362226966019004	19	10.530055328768032	0.09987651936034168	27
19	False	squared_error	33	sqrt	2	13	650	17.56760962363738	1.010043668988349	20	10.409061030429609	0.09171505417339584	24
20	False	squared_error	33	sqrt	1	11	650	17.582280995061026	1.0707169301843618	21	9.317068877825651	0.08616510729904517	8
21	False	squared_error	15	log2	1	15	200	17.584195189955416	0.9870825236548244	22	11.371205890604447	0.09721305829119652	37
22	True	squared_error	14	log2	1	2	250	17.60866139218553	0.9939139669540444	23	11.099946126627955	0.10597179751211605	35
23	False	squared_error	14	log2	1	2	650	17.61481304244335	1.0707730337696948	24	9.51489409693516	0.08062436898378635	12
24	False	squared_error	50	sqrt	1	10	650	17.616628930894056	1.0628860717112723	25	9.090097717284108	0.08386865357758516	7
25	False	squared_error	13	log2	1	2	100	17.617039768528794	1.0470377261110182	26	10.372859991563937	0.07928578780459478	21
26	False	squared_error	23	log2	3	18	650	17.622115083836754	0.9903820218678037	27	11.749567661641922	0.09174188836998468	39
27	False	squared_error	34	sqrt	3	10	650	17.624820947214364	1.0282523094945542	28	10.381609429008508	0.09459345649472274	23
28	True	squared_error	50	sqrt	1	13	650	17.633920172504908	0.9394080797792352	29	12.157255019062728	0.08370219462993397	41
29	False	squared_error	14	log2	1	2	650	17.635420304718444	1.1025663357867983	30	9.513910429354524	0.08664449471932116	11
30	False	squared_error	14	log2	1	2	650	17.635464737183508	1.1098830856053363	31	9.505218176363972	0.0833539835998955	10
31	False	squared_error	14	log2	1	17	100	17.635865328907656	0.9843192914671137	32	12.090297444215896	0.09990224760122622	40
32	False	squared_error	33	sqrt	5	10	650	17.63866852686548	1.0163425136583926	33	11.38299489478992	0.09325304620788925	38
33	False	squared_error	20	log2	1	30	650	17.64648147365561	0.9393158354726259	34	12.458212274000878	0.09489146441261591	43
34	False	squared_error	15	log2	1	3	100	17.669702152236898	1.1093143577263043	35	9.080670847903729	0.10882173582923288	6
35	False	squared_error	40	log2	1	34	650	17.691561944875065	0.9339394856528423	36	12.771149707393928	0.09647483558671022	44
36	False	squared_error	14	log2	1	24	100	17.705600767476597	0.9637018364054456	37	12.871501275215689	0.0846992136269741	46
37	True	squared_error	14	log2	1	10	100	17.71868478802828	1.01510789263834	38	12.810124137981495	0.10678698025250866	45
38	False	absolute_error	14	log2	1	2	200	17.731245339316242	1.0856396825011532	39	10.15065160461959	0.10282937325030424	14
39	True	squared_error	34	sqrt	1	13	100	17.732238906376633	0.9288399828307193	40	12.234344595054571	0.08157936620014927	42
40	False	absolute_error	15	log2	1	23	650	17.77799593704633	1.0322473292281218	41	12.971551852995617	0.12926333658978037	47
41	False	absolute_error	15	sqrt	1	2	100	17.78714983969082	1.107857136213525	42	9.500724428771337	0.1533765542864519	9
42	False	squared_error	23	log2	1	50	650	17.94994168824081	0.8883692489795062	43	14.043789367175652	0.0985303882657468	49
43	False	squared_error	33	log2	1	5	650	18.005257313024284	1.2029071476283693	44	7.815743632076962	0.09402871223152001	4
44	False	squared_error	33	sqrt	2	50	650	18.012574281037196	0.9045374047651058	45	14.281135156867032	0.09169319992477555	50
45	False	absolute_error	11	log2	1	13	200	18.016599443732172	1.0602087879095956	46	13.95202900551612	0.11278716869557379	48
46	False	squared_error	16	sqrt	1	50	250	18.03452278110619	0.8783486155499182	47	14.334658425947609	0.0944665908489561	51
47	False	absolute_error	50	log2	1	50	550	18.09228775809067	1.0222690388881541	48	14.460874387432643	0.10955483969014596	52
48	False	absolute_error	49	log2	1	5	650	18.15781581619356	1.2624299900033007	49	8.225997881156896	0.10588454362469611	5
49	False	absolute_error	13	log2	1	38	600	18.17403835851307	1.0715425242668652	50	14.77398437151586	0.12278700042529334	53
50	False	squared_error	10	log2	6	24	200	18.388368091256158	1.0279651380566404	51	15.583007672472013	0.1183733395870595	54
