	param_detector__bootstrap	param_detector__contamination	param_detector__max_features	param_detector__max_samples	param_detector__n_estimators	mean_test_score	std_test_score	rank_test_score	mean_train_score	std_train_score	rank_train_score
22	False	0.08460000000000001	1	2280	500	0.47728630179901144	0.0008379709238036862	23	0.47656657428508237	0.0007733029833550404	23
23	True	0.0748	2	155	350	0.47459746542260717	0.0008106401470993128	24	0.4745207584079053	0.0006253703392808124	24
24	True	0.08520000000000001	2	3795	250	0.46507517632759693	0.000889104625258034	25	0.4642174722736259	0.0008631022052629425	25
25	False	0.1102	2	1790	200	0.4579885006867408	0.0014531733983920382	26	0.45743626901493417	0.0012037971331650295	26
26	True	0.11670000000000001	7	280	100	0.45468825083611303	0.0016871548320784794	27	0.4545626242737216	0.0020175725188831296	27
27	False	0.07650000000000001	5	415	300	0.4525045217933559	0.0007503094476087	28	0.4523653064052156	0.0007407615581535997	28
28	True	0.1126	3	835	600	0.452449391992901	0.0007501794695365501	29	0.4521064067864057	0.0005939013021333791	29
29	False	0.0242	3	950	650	0.4495330722179614	0.0006153376626896781	30	0.44922802419792474	0.0003165717519352676	30
30	True	0.0734	4	1700	600	0.44549713305115635	0.0009455926120964979	31	0.4450322879224416	0.000626398609121726	31
31	False	0.04850000000000001	6	650	650	0.4434327624554367	0.0014102090258807697	32	0.44319027610449097	0.001010423209767191	32
32	True	0.10590000000000001	5	3805	650	0.44162790710620675	0.0008419064648443744	33	0.4410313053859318	0.0007936367039686505	33
33	False	0.04650000000000001	4	2395	350	0.4406529832931185	0.0007343716538334471	34	0.4399952415032236	0.000836654290734376	34
34	True	0.09300000000000001	6	3505	500	0.44013205560662083	0.0010100121724007853	35	0.4395460765378334	0.0006126946812496628	35
35	False	0.027200000000000002	7	1000	500	0.4391783163448416	0.000768302982840094	36	0.43889237205801646	0.0007939089189912467	36
36	False	0.0835	13	740	100	0.43792194490578185	0.0025291581242239372	37	0.43761262808865836	0.0024995065729046433	37
37	True	0.11030000000000001	8	3365	300	0.43763446630467107	0.0008325341723690251	38	0.43706687930733795	0.00038722358379569187	38
38	True	0.05260000000000001	8	2890	700	0.4369611442438342	0.0006368093331382277	39	0.4364503011109959	0.0005646315409573354	39
39	True	0.0207	9	3225	450	0.4364727309994749	0.0005617777035596877	40	0.43592292339022265	0.0006772286923869774	40
40	True	0.084	13	1720	350	0.43613769003540703	0.0008312494391182212	41	0.4357442418749559	0.0005103788586521227	41
41	True	0.07	15	1465	550	0.43557264589688477	0.0009024351662080022	42	0.43521944009638586	0.0008070048303126477	42
42	True	0.024900000000000002	11	2210	100	0.4353284459736546	0.0009727002462220698	43	0.43480463139981007	0.0013557394510112534	43
43	False	0.0981	11	1090	500	0.43457040204100633	0.0009828333120752337	44	0.43423385310484786	0.0004343151127100193	44
44	False	0.11970000000000001	10	1710	250	0.4342340662508808	0.0012530375125116787	45	0.43380579025789423	0.0012836679190766048	45
45	True	0.0659	14	2295	200	0.4328634343690065	0.0011526926521438713	46	0.43240023059751653	0.0007978772176159295	46
46	False	0.0408	9	1595	100	0.4324432435947877	0.0022309907850753723	47	0.4321222683027396	0.0016950214034366746	47
47	False	0.0873	14	1330	550	0.4300202951099714	0.0007773146643313323	48	0.4297101135108191	0.00019097241889230404	48
48	False	0.0666	15	3210	450	0.4257429227629654	0.0006574213451269843	49	0.4251989543150202	0.0006128556747861669	49
49	False	0.044800000000000006	12	3230	450	0.42552327025303416	0.0009439521880886912	50	0.42500738909510904	0.0004697416749458385	50
