	param_detector__bootstrap	param_detector__contamination	param_detector__max_features	param_detector__max_samples	param_detector__n_estimators	mean_test_score	std_test_score	rank_test_score	mean_train_score	std_train_score	rank_train_score
0	True	0.043500000000000004	1	3990	150	0.49397915093410216	0.0014644099059999264	1	0.4921238961128365	0.0014572034890127667	1
1	True	0.0038	1	3970	200	0.4932419954035095	0.0009553095049668269	2	0.4913559085671141	0.0010236911349243887	2
2	True	0.0101	1	3970	550	0.49145146565503994	0.0007139286260618046	3	0.4895985376707966	0.0006000884410066637	3
3	True	0.034	1	3140	200	0.4898033035534368	0.0006568222177093034	4	0.488109138538961	0.0002567230905213844	4
4	True	0.011899999999999999	1	3220	550	0.48833430269952494	0.0009067156091316686	5	0.4866480974645809	0.0010568990784358718	5
5	True	0.0138	1	3235	550	0.48807919153822893	0.0005954673259151375	6	0.4864092841221074	0.000646472236073334	6
6	True	0.0031	1	2995	700	0.4875555208468554	0.0005044687399602411	7	0.4858996428102901	0.0004670100990214114	7
7	True	0.11270000000000001	1	2715	550	0.4866958707386281	0.0009199247799643393	8	0.48509684556350835	0.0004023127425768979	8
8	True	0.0126	1	2200	200	0.4866523726065718	0.0015395671214569343	9	0.4850460886067213	0.001113423736382462	9
9	True	0.0747	1	2670	550	0.4865122021140492	0.0008451993936122891	10	0.4849119127403302	0.00039695395673190346	10
10	True	0.0649	1	2640	750	0.4862986869120567	0.0006536826302001046	11	0.4847454457460175	0.00045297460963073004	11
11	True	0.07400000000000001	1	2535	700	0.4859578691719051	0.0005351691908781951	12	0.48435045602719135	0.0006078110372984988	12
12	True	0.049800000000000004	1	2380	600	0.4854023564670489	0.0008630847111995058	13	0.483799056047922	0.001040470339296688	13
13	True	0.111	1	1760	150	0.4846823301974664	0.0014724971368856707	14	0.48339119857049145	0.0012833374268400516	14
14	True	0.045700000000000005	1	1335	200	0.4841405574551648	0.0007798014334902338	15	0.48307568014296515	0.0010707187244580127	15
15	True	0.0981	1	1960	300	0.4840446081472264	0.0010826442241612263	16	0.4829046513440298	0.0010675047279398088	16
16	True	0.08660000000000001	1	1815	550	0.48275637126466	0.0004847432799493671	17	0.4815711417897761	0.0004376487405292495	17
17	True	0.04070000000000001	1	760	550	0.4810858039139652	0.0009290426176577906	18	0.4801851984530597	0.0008096224600066498	18
18	True	0.0777	1	590	700	0.48062501236883	0.001156241359626836	19	0.47993897189024964	0.0007488629519598887	19
19	False	0.0031	1	2930	350	0.47277777410044564	0.0016180222457207758	20	0.4709954862572043	0.0009777085268678069	20
20	True	0.025	2	3990	550	0.47199866650265127	0.0007589995564681721	21	0.4702559412685134	0.000714549101936761	21
21	True	0.0028	2	2995	550	0.4687173262778345	0.0007635300553432906	22	0.4670759449474423	0.0009204246378346166	22
22	True	0.06160000000000001	2	2495	550	0.46670189153204733	0.0007875801179061665	23	0.46521869916083053	0.0007955909866643595	23
23	True	0.033600000000000005	2	750	550	0.4648450147083258	0.0013235095735236707	24	0.46403368701592845	0.0007437870625461524	24
24	True	0.09880000000000001	2	860	550	0.46423346938993787	0.000984812066164697	25	0.4634329156582392	0.0009263139928045905	25
25	True	0.11030000000000001	2	920	550	0.46416101800335785	0.0015966150199278383	26	0.46331607137098246	0.0010403420353921934	26
26	True	0.045500000000000006	2	835	150	0.46331859589549385	0.0015984743169152398	27	0.4625299980418805	0.0012223267388582998	27
27	True	0.04070000000000001	3	835	550	0.4572728194507481	0.0009258195188150966	28	0.4565349238647006	0.0008200787352598284	28
28	True	0.1126	3	835	600	0.45706407499966845	0.0009172185921615937	29	0.45633506201371865	0.0007614177672128474	29
29	False	0.1102	2	1790	200	0.45643763670619275	0.0008585266449140382	30	0.45506669130482597	0.0016029039641456647	30
30	True	0.10590000000000001	5	3805	650	0.45281831331371236	0.0012177755757921895	31	0.45153543833339926	0.0003827766641504871	31
31	True	0.0734	4	1700	600	0.4512000902079924	0.0011784917899596637	32	0.4501754342901834	0.0006837926391332686	32
32	True	0.050800000000000005	8	3990	550	0.4506924466957605	0.0008215656150305515	33	0.4495503343172328	0.000941575727461726	33
33	True	0.09300000000000001	6	3505	500	0.4506790219621791	0.0014077366261014191	34	0.44945752500345454	0.0003568743471646425	34
34	True	0.07210000000000001	12	3990	100	0.4492896982762982	0.0019544682116076333	35	0.44808572439643146	0.001140967289191375	35
35	True	0.11030000000000001	8	3365	300	0.4489364140891727	0.001188355354268577	36	0.447805898513902	0.0008923938026362778	36
36	False	0.011899999999999999	5	620	450	0.4477345525244175	0.0021705050399166217	37	0.4471315125033491	0.001381047197797337	37
37	False	0.0859	3	1325	550	0.44742251181147397	0.0011326249761105368	38	0.4463692945609553	0.0006818260186449948	38
38	True	0.0207	9	3225	450	0.4472389195856975	0.0015208747949808788	39	0.44602010950553045	0.0013186336497804274	41
39	True	0.114	10	3990	650	0.4472001734300933	0.0009079042369631163	40	0.4460432511542532	0.0005442471063840436	40
40	True	0.05260000000000001	8	2890	700	0.4471855861338363	0.000654136180421874	41	0.44605677499410756	0.0009545468971444701	39
41	True	0.02	15	3990	550	0.4469007155335727	0.0014928353422510232	42	0.4457205419006168	0.0005578988223737346	42
42	True	0.0124	7	2995	600	0.4467876621550163	0.0015987781769945877	43	0.44567648284587563	0.0004061987806685455	43
43	True	0.052500000000000005	11	3365	300	0.4452694960933526	0.0014706024344709899	44	0.44429311080975786	0.0007784853740521923	44
44	True	0.021500000000000002	14	3365	650	0.4447898149585769	0.0010808379642097857	45	0.4437185469102687	0.0005705503403212922	45
