	param_regressor__bootstrap	param_regressor__criterion	param_regressor__max_depth	param_regressor__max_features	param_regressor__min_samples_leaf	param_regressor__min_samples_split	param_regressor__n_estimators	mean_test_score	std_test_score	rank_test_score	mean_train_score	std_train_score	rank_train_score
30	True	squared_error	40	log2	1	6	100	17.707534608146634	1.2449647195903153	31	10.587267433981683	0.13455002318827242	7
31	False	squared_error	34	sqrt	1	33	650	17.718511531931327	1.2249947911334989	32	12.652664677236178	0.1175020194972905	41
32	False	squared_error	18	sqrt	4	20	400	17.728013886125623	1.2620858528670065	33	12.554529048869854	0.11748130446240132	40
33	True	squared_error	40	log2	2	5	100	17.734799854224644	1.274757941659907	34	11.199751912453369	0.11203839827393437	12
34	False	squared_error	50	log2	1	13	650	17.740844365984483	1.2573613275701108	35	9.839390343676476	0.11880771759279138	5
35	True	squared_error	37	log2	3	7	100	17.742831907632926	1.1931060391223582	36	12.291393617917468	0.10970723861765473	38
36	True	squared_error	36	sqrt	1	16	500	17.754672958391595	1.1570571461440902	37	12.72943702706841	0.11267629792391495	42
37	False	squared_error	42	log2	1	12	550	17.763443170121416	1.2634365697004537	38	9.64543631091973	0.12276394721835122	4
38	True	squared_error	43	sqrt	1	6	200	17.76734509201008	1.2242853531648799	39	10.555034985639411	0.11722287289962728	6
39	False	squared_error	26	sqrt	1	10	650	17.8059288463213	1.2454649953064398	40	9.22384012821821	0.1158431996615577	3
40	True	squared_error	42	sqrt	1	20	650	17.815648686644874	1.1712511752189738	41	13.318501637756054	0.10656354400417442	44
41	True	absolute_error	50	sqrt	1	15	400	17.816134576465483	1.2306967452810944	42	12.787931786400488	0.11784875613339843	43
42	False	squared_error	22	sqrt	8	21	650	17.839486494384364	1.22271213943036	43	13.540478048554913	0.11450841990134138	45
43	True	squared_error	26	sqrt	1	2	650	17.859827393240447	1.203945611954001	44	8.97018931573378	0.119671129334775	2
44	False	squared_error	34	sqrt	5	33	650	17.885855032360546	1.2164895561382418	45	13.872339285497825	0.11955277288269145	46
45	False	squared_error	16	sqrt	11	22	150	18.003238977985454	1.1504146783804237	46	14.320530130254237	0.10831910416248992	47
46	False	squared_error	17	sqrt	12	23	200	18.03761375557331	1.1509187319647949	47	14.563312969767248	0.11100800678578042	49
47	True	squared_error	37	sqrt	1	31	650	18.056538672790133	1.1555880336141873	48	14.478861255249575	0.11296971792732863	48
48	True	squared_error	22	sqrt	5	20	650	18.065983484157098	1.1586547555783966	49	14.641410296845006	0.11068977065135588	50
49	False	squared_error	19	sqrt	1	3	650	18.18743309315365	1.2406744009598718	50	7.6987822284029	0.13990036392452476	1
