	param_detector__bootstrap	param_detector__contamination	param_detector__max_features	param_detector__max_samples	param_detector__n_estimators	mean_test_score	std_test_score	rank_test_score	mean_train_score	std_train_score	rank_train_score
0	True	0.1087	1	2935	100	0.49984159247265775	0.0027211375701748025	1	0.497674812156977	0.0018583886617963054	1
1	True	0.0604	1	3450	100	0.49984159247265775	0.0027211375701748025	1	0.497674812156977	0.0018583886617963054	1
2	True	0.040100000000000004	1	2440	100	0.49984159247265775	0.0027211375701748025	1	0.497674812156977	0.0018583886617963054	1
3	True	0.0454	1	3865	100	0.49984159247265775	0.0027211375701748025	1	0.497674812156977	0.0018583886617963054	1
4	True	0.0386	1	1560	100	0.49984159247265775	0.0027211375701748025	1	0.497674812156977	0.0018583886617963054	1
5	True	0.0688	1	2040	100	0.49984159247265775	0.0027211375701748025	1	0.497674812156977	0.0018583886617963054	1
6	True	0.11560000000000001	1	3120	100	0.49984159247265775	0.0027211375701748025	1	0.497674812156977	0.0018583886617963054	1
7	True	0.0898	1	3770	100	0.49984159247265775	0.0027211375701748025	1	0.497674812156977	0.0018583886617963054	1
8	True	0.046200000000000005	1	2265	100	0.49984159247265775	0.0027211375701748025	1	0.497674812156977	0.0018583886617963054	1
9	True	0.08760000000000001	1	3360	100	0.49984159247265775	0.0027211375701748025	1	0.497674812156977	0.0018583886617963054	1
10	True	0.0128	1	1855	100	0.49984159247265775	0.0027211375701748025	1	0.497674812156977	0.0018583886617963054	1
11	True	0.07450000000000001	1	1765	250	0.49861178549300744	0.0020869097004657046	12	0.4965374457999128	0.0011741087574505904	12
12	True	0.016	1	1750	250	0.49861178549300744	0.0020869097004657046	12	0.4965374457999128	0.0011741087574505904	12
13	True	0.0204	1	3360	200	0.4982330268023659	0.0017066159031413055	14	0.49614859959578234	0.0009274773486522357	14
14	True	0.08120000000000001	1	2480	300	0.49717591997341193	0.002038195639247219	15	0.49514330670943263	0.001131318479526621	15
15	True	0.1106	1	3015	700	0.4966411390565305	0.0020193194929451637	16	0.4944221601432194	0.0009053734816887516	17
16	True	0.1092	1	3760	650	0.4966132601105504	0.00211832592845104	17	0.49441583202057027	0.0009583890333453196	18
17	True	0.061500000000000006	1	2095	550	0.49652462191391367	0.002048707880108413	18	0.49436818134075866	0.0009196039889693372	21
18	True	0.1048	1	3505	450	0.4964739414905009	0.0019282069087378888	19	0.49438762645925094	0.0009637558196388185	19
19	True	0.0023	1	2835	450	0.4964739414905009	0.0019282069087378888	19	0.49438762645925094	0.0009637558196388185	19
20	True	0.1052	1	1095	100	0.4964731320659153	0.0016524335759382316	21	0.49445471340249514	0.0005951816274701882	16
21	True	0.0236	1	3485	600	0.49640003984826475	0.002147568173229525	22	0.49421196103076676	0.001009181588630932	22
22	True	0.07210000000000001	1	930	150	0.49404511976895504	0.002324848923521891	23	0.49242048958645146	0.0012308089004225194	23
23	True	0.0267	1	200	100	0.4933724029626109	0.002726918450813336	24	0.49229763951767885	0.002700638793264491	24
24	True	0.09300000000000001	1	180	350	0.4923022050734587	0.0020559936898878087	25	0.49147709517195154	0.001128846236883079	25
25	True	0.08040000000000001	1	195	500	0.49129205613572013	0.0013793607589172542	26	0.4903600352718155	0.0008858008953928254	26
26	True	0.0156	1	790	750	0.49009048172496267	0.0019416468126066933	27	0.4884621773025487	0.0009510215634555799	27
27	True	0.11470000000000001	1	610	400	0.4894276224795592	0.0015874685878844168	28	0.48784214893967404	0.0012250478660905749	28
28	True	0.0204	2	3770	450	0.48253455378570304	0.0019041601315939272	29	0.4800377370963968	0.000863485557501047	29
29	True	0.0883	4	3505	500	0.47553360609388323	0.0018455987239479935	30	0.4731043164318116	0.0007841002322940075	30
30	False	0.0908	1	1825	100	0.47347075881165557	0.002257683612820836	31	0.4706473040547289	0.001266892086633797	32
31	True	0.09300000000000001	6	3505	500	0.4731833957637308	0.001664951154699109	32	0.4709102617198549	0.0004636247952138047	31
32	True	0.07050000000000001	6	3065	600	0.4727906097974925	0.0017551127585077396	33	0.47050643758868665	0.0006389987313087395	34
33	True	0.05260000000000001	6	1450	750	0.47250320175639615	0.001772610466173445	34	0.4702226527520857	0.0008382393738793565	35
34	True	0.1126	3	835	600	0.47246512236518523	0.0023409015308080102	35	0.47057852387422666	0.0009785781705970464	33
35	True	0.10590000000000001	5	3805	650	0.4718715520200204	0.0019423576524049276	36	0.46990732796828416	0.0005405565552032163	36
36	True	0.05260000000000001	8	2890	700	0.4710143602132254	0.0018416024471712257	37	0.46884344108411835	0.00042906040275660285	37
37	True	0.11030000000000001	8	3365	300	0.47088565447087605	0.0022621057308100795	38	0.4686955568893845	0.0009475719088088029	38
