	param_regressor__bootstrap	param_regressor__criterion	param_regressor__max_depth	param_regressor__max_features	param_regressor__min_samples_leaf	param_regressor__min_samples_split	param_regressor__n_estimators	mean_test_score	std_test_score	rank_test_score	mean_train_score	std_train_score	rank_train_score
58	False	squared_error	50	sqrt	20	50	100	19.582929077630684	0.5222418651412609	59	17.321835484488464	0.055536043444611556	60
59	False	squared_error	10	log2	6	24	200	19.647367100141953	0.49228499319616803	60	17.44788678517616	0.09686420397239001	61
60	True	squared_error	11	sqrt	10	4	500	19.77531880099617	0.49351009319701244	61	17.849954479745048	0.06078249833453205	62
61	True	squared_error	50	sqrt	11	50	300	19.865190831752585	0.5288229034385389	62	18.044348542149468	0.05738783785602897	63
62	True	squared_error	21	sqrt	18	31	450	19.918646206865006	0.5244038851803323	63	18.152208500278114	0.053541606867175365	64
63	True	absolute_error	32	sqrt	16	7	500	20.133707098912197	0.5207687022912896	64	18.61080768277271	0.06943227659643203	65
64	False	squared_error	41	log2	1	2	650	20.166478192697955	0.9426087507893147	65	7.552521962398911	0.0858512530653218	1
65	True	squared_error	12	log2	24	20	350	20.410209399181106	0.5012815412645746	66	19.091940297654055	0.05770082160722481	67
66	True	squared_error	19	sqrt	26	5	200	20.415194041878877	0.5140946807829128	67	19.063465845733838	0.05800667667777932	66
67	True	absolute_error	29	sqrt	27	36	350	20.81884498833763	0.5036790047688827	68	19.77686824146921	0.06862128881724441	68
68	False	squared_error	5	log2	25	2	350	22.462136836261184	0.49190505180561295	69	22.026876255354427	0.07022307328991045	69
69	True	squared_error	5	sqrt	1	50	650	22.516490062809407	0.49557516559324244	70	22.07820380012268	0.05554781915368648	70
