lon,lat,heat-flow (mW/m2),grid_index,dist_from_grid,VOLC_DIST,VOLC_DIST_W,LAND,CONTINENT,SV,PV,SV_SPEED,PV_SPEED,CTD,MOHO,SI,LAB,RHO_C,RHO_L,GEOID,FA,BG,DEM,EMAG2,EMAG2_CLASS,GLIM,REG
-17.5,14.6,54.0,14837,27378.296904100884,12.204182495710134,0.8779581750428986,1.0,2.0,0.010020540427651343,-0.007703121450468203,4.436020838340875,8.070710278312092,22.50746068204077,25.708034027585022,0.9334841721212882,112.97653035456148,2791.3514656520088,3335.86582987195,28.777662357060215,16.00999008686945,102.19430027155016,28.0,24.782197952270508,0.06011201504961011,3.0,6.0
-17.45,14.75,66.8,14837,11194.253313240142,12.204182495710134,0.8779581750428986,1.0,2.0,0.010020540427651343,-0.007703121450468203,4.436020838340875,8.070710278312092,22.50746068204077,25.708034027585022,0.9334841721212882,112.97653035456148,2791.3514656520088,3335.86582987195,28.777662357060215,16.00999008686945,102.19430027155016,28.0,24.782197952270508,0.06011201504961011,3.0,6.0
-17.433,14.683,81.0,14837,18851.948035151232,12.204182495710134,0.8779581750428986,1.0,2.0,0.010020540427651343,-0.007703121450468203,4.436020838340875,8.070710278312092,22.50746068204077,25.708034027585022,0.9334841721212882,112.97653035456148,2791.3514656520088,3335.86582987195,28.777662357060215,16.00999008686945,102.19430027155016,28.0,24.782197952270508,0.06011201504961011,3.0,6.0
-17.433,14.717,73.2,14837,15262.477620122689,12.204182495710134,0.8779581750428986,1.0,2.0,0.010020540427651343,-0.007703121450468203,4.436020838340875,8.070710278312092,22.50746068204077,25.708034027585022,0.9334841721212882,112.97653035456148,2791.3514656520088,3335.86582987195,28.777662357060215,16.00999008686945,102.19430027155016,28.0,24.782197952270508,0.06011201504961011,3.0,6.0
-17.433,14.733,78.5,14837,13609.183932893277,12.204182495710134,0.8779581750428986,1.0,2.0,0.010020540427651343,-0.007703121450468203,4.436020838340875,8.070710278312092,22.50746068204077,25.708034027585022,0.9334841721212882,112.97653035456148,2791.3514656520088,3335.86582987195,28.777662357060215,16.00999008686945,102.19430027155016,28.0,24.782197952270508,0.06011201504961011,3.0,6.0
-17.417,14.7,67.7,14837,17659.9506010379,12.204182495710134,0.8779581750428986,1.0,2.0,0.010020540427651343,-0.007703121450468203,4.436020838340875,8.070710278312092,22.50746068204077,25.708034027585022,0.9334841721212882,112.97653035456148,2791.3514656520088,3335.86582987195,28.777662357060215,16.00999008686945,102.19430027155016,28.0,24.782197952270508,0.06011201504961011,3.0,6.0
-17.333,14.733,52.0,14837,20378.10989317414,12.204182495710134,0.8779581750428986,1.0,2.0,0.010020540427651343,-0.007703121450468203,4.436020838340875,8.070710278312092,22.50746068204077,25.708034027585022,0.9334841721212882,112.97653035456148,2791.3514656520088,3335.86582987195,28.777662357060215,16.00999008686945,102.19430027155016,28.0,24.782197952270508,0.06011201504961011,3.0,6.0
-17.267,14.567,49.0,14693,34101.130535854296,48.15286717178077,0.5184713282821922,1.0,2.0,0.0064301134922384595,-0.007308023449650729,4.420219436355675,8.073900033838221,25.375973192655316,26.428717524080305,0.8978958009842297,111.1645077911223,2783.5838806074726,3332.2613542701633,27.971333144190957,12.107441387652514,102.76718333442625,-47.0,20.216106414794922,0.04930457092243386,15.0,6.0
-17.233,14.8,57.0,14837,27297.61213503122,12.204182495710134,0.8779581750428986,1.0,2.0,0.010020540427651343,-0.007703121450468203,4.436020838340875,8.070710278312092,22.50746068204077,25.708034027585022,0.9334841721212882,112.97653035456148,2791.3514656520088,3335.86582987195,28.777662357060215,16.00999008686945,102.19430027155016,28.0,24.782197952270508,0.06011201504961011,3.0,6.0
-17.217,14.733,45.0,14838,28486.524555364176,46.0829758353488,0.5391702416465121,1.0,2.0,0.014766978097036244,-0.00719292644564822,4.456813865823077,8.074887258421272,21.293625640824963,30.562454612928335,0.8364262333449802,116.5706057347903,2826.3370636215573,3338.791913922585,30.153741325089545,26.94207522203668,48.60526295146676,25.0,37.783565521240234,0.09026009849418257,3.0,2.0
