index	CTD	SI	LAB	MOHO	SV	PV	GEOID	FA	DEM	BG	EMAG2_CLASS	RHO_L	RHO_C	VOLC_DIST_W	REG	GLIM	lon	lat	grid_index	heat-flow (mW/m2)
0	21.293625640824963	0.8364262333449802	116.5706057347903	30.56245461292833	0.0147669780970362	-0.0071929264456482	30.153741325089545	26.94207522203668	25.0	48.60526295146676	0.0902600984941825	3338.791913922585	2826.3370636215573	0.5391702416465121	2	3	-17.217	14.733	14838	45.0
1	21.293625640824963	0.8364262333449802	116.5706057347903	30.56245461292833	0.0147669780970362	-0.0071929264456482	30.153741325089545	26.94207522203668	25.0	48.60526295146676	0.0902600984941825	3338.791913922585	2826.3370636215573	0.5391702416465121	2	3	-17.133	14.917	14838	44.0
2	24.048228134436936	0.7374091231578246	111.83275435229388	28.21095049844308	0.011513234988514	-0.0067973764932841	29.47377565401356	20.873040820237737	10.0	49.60299446137648	0.0381779434717413	3330.8270929342743	2806.708580378472	0.3444156326956035	2	3	-17.067	14.533	14694	42.0
3	21.293625640824963	0.8364262333449802	116.5706057347903	30.56245461292833	0.0147669780970362	-0.0071929264456482	30.153741325089545	26.94207522203668	25.0	48.60526295146676	0.0902600984941825	3338.791913922585	2826.3370636215573	0.5391702416465121	2	3	-17.018	14.602	14838	42.0
4	36.8301411055498	0.5067388291249105	159.49896135516667	42.89037288439596	0.0392156693600315	0.0078526032246831	31.82810343414122	10.357612540244208	189.0	-14.143934720059963	0.0835285929178709	3346.7362277148177	2878.3055852910466	0.0	1	8	-11.756	12.841	14272	31.8
5	24.466614797423556	0.8814682258946638	117.7877523393316	35.05735020050544	0.0243507175400719	0.0050744901082823	31.499676387105275	29.149774950453867	131.0	22.94109749993993	0.1393818350748531	3324.371636076221	2843.2637387742507	0.0	2	8	-10.333	6.817	12547	58.0
6	27.445318515519336	0.3528436964520086	113.34027713747328	37.67099212719907	-0.0003849439494401	-0.0037438597218887	45.05170635861887	34.9001572474208	778.0	-47.07893757065965	-0.0695709368222928	3323.657438316747	2826.134641265744	0.0	3	3	-8.716	29.483	19030	54.0
7	34.765094894115144	0.814098946662188	133.20632934369957	40.58274907893993	0.0394891985691498	0.0077829922043666	32.6516447396314	29.12068022893262	336.0	-6.952736222144702	-0.0526006350362111	3328.2230329677823	2868.445189166767	0.0	1	8	-8.667	7.45	12695	54.0
8	34.765094894115144	0.814098946662188	133.20632934369957	40.58274907893993	0.0394891985691498	0.0077829922043666	32.6516447396314	29.12068022893262	336.0	-6.952736222144702	-0.0526006350362111	3328.2230329677823	2868.445189166767	0.0	1	8	-8.667	7.45	12695	54.0
9	37.964713631113455	0.8386904761313099	142.9101886864543	42.71342312845966	0.0440843914670102	0.0081744215577376	33.9578038809433	36.03896262409606	427.0	-12.764186104576195	0.0045120862026398	3331.323721781306	2868.189372599658	0.0	1	8	-8.633	7.567	12839	58.0
10	24.82491603392579	0.6891028549781872	115.92413514303632	34.97222823894535	0.0253809729909441	0.0064893963135606	30.83225249127316	27.86086417052487	253.0	7.883763073999968	-0.3006239063230547	3328.0365994153617	2844.9614617720235	0.0	1	8	-8.2	5.667	12263	54.0
11	25.4258261585847	0.8145454618428963	91.53069737530087	29.882658856358365	-0.0018084906737869	0.0043005875975437	54.874743685656085	56.97218679241168	221.0	33.71061637379979	0.075245287506671	3290.232035193736	2778.824418958232	0.0	6	5	-7.162	37.985	21481	80.0
12	26.2942599799908	-0.1531662862718934	69.37356296185405	33.43843648927472	-0.0082143469184262	-0.0045678538634447	47.22677506917304	5.193973778032246	637.0	-39.9098350615607	0.2497846799481284	3272.988289558404	2750.31448564891	0.2808792187116695	3	1	-5.823	34.167	20332	67.0
13	25.96827097746367	-0.6098231845404072	70.13802840059671	32.70731833968398	-0.0043247800947786	-0.0052322114082076	44.925349881333744	-20.45892973274354	46.0	-47.38341343044394	-0.2379004033768584	3277.091512979141	2738.462517853848	0.0	3	1	-5.77	34.235	20476	71.0
14	28.092168187072648	0.3019751229723266	66.69235140086222	33.74970070282844	-0.0264137825864259	-0.0049935978472393	50.685378595775816	48.117524473779056	1460.0	-60.420998440177655	0.1309248419543126	3273.410010994702	2750.831688786433	0.2047950026760548	3	6	-4.518	34.223	20335	65.0
15	27.041618498449445	0.0591253579285838	68.3746778727336	30.902841061936165	-0.0217303377091543	-0.0017287923400494	50.2519580313402	48.53225928658627	444.0	-56.01106919037457	0.0240813392113272	3275.06432221006	2743.819390942636	0.0	3	9	-4.333	34.322	20479	72.0
16	28.271397170484963	0.2819633991913456	68.69010517738377	30.943460500452257	-0.0273857115360981	-0.0019465127646354	50.14531527759611	47.04191269415087	517.0	-36.71445378966827	0.0320740748879318	3275.292919466984	2741.973574301271	0.456650171756676	3	3	-3.868	34.475	20480	81.0
17	28.877233492659343	0.4214503559423067	68.80399761875111	32.430564691572386	-0.0366025222453173	-0.0043611884213935	51.577279116948525	55.74155416827728	1178.0	-58.61172282503129	-0.0115475838615	3274.107740872	2752.3884007423158	0.3774121667599126	3	6	-3.518	34.097	20337	79.0
18	29.20878469432317	0.3756182109400195	69.16348767328351	31.519139572275908	-0.0325622197681498	-0.0038280338408668	51.36750708321719	55.63105990247074	397.0	-43.37062057724388	0.1861889112549067	3276.1611371574545	2747.870887313876	0.9022271726044276	3	1	-3.468	34.243	20481	90.0
