SI	LAB	MOHO	CTD	SV	PV	GEOID	FA	RHO_C	BG	EMAG2_CLASS	DEM	RHO_L	VOLC_DIST_W	REG	GLIM	lon	lat	grid_index	heat-flow (mW/m2)
0.9334841721212882	112.97653035456148	25.708034027585025	22.50746068204077	0.0100205404276513	-0.0077031214504682	28.777662357060212	16.00999008686945	2791.3514656520088	102.19430027155016	0.0601120150496101	28.0	3335.86582987195	0.8779581750428986	6	3	-17.45	14.75	14837	66.8
0.9334841721212882	112.97653035456148	25.708034027585025	22.50746068204077	0.0100205404276513	-0.0077031214504682	28.777662357060212	16.00999008686945	2791.3514656520088	102.19430027155016	0.0601120150496101	28.0	3335.86582987195	0.8779581750428986	6	3	-17.433	14.683	14837	81.0
0.9334841721212882	112.97653035456148	25.708034027585025	22.50746068204077	0.0100205404276513	-0.0077031214504682	28.777662357060212	16.00999008686945	2791.3514656520088	102.19430027155016	0.0601120150496101	28.0	3335.86582987195	0.8779581750428986	6	3	-17.433	14.717	14837	73.2
0.9334841721212882	112.97653035456148	25.708034027585025	22.50746068204077	0.0100205404276513	-0.0077031214504682	28.777662357060212	16.00999008686945	2791.3514656520088	102.19430027155016	0.0601120150496101	28.0	3335.86582987195	0.8779581750428986	6	3	-17.433	14.733	14837	78.5
0.9334841721212882	112.97653035456148	25.708034027585025	22.50746068204077	0.0100205404276513	-0.0077031214504682	28.777662357060212	16.00999008686945	2791.3514656520088	102.19430027155016	0.0601120150496101	28.0	3335.86582987195	0.8779581750428986	6	3	-17.417	14.7	14837	67.7
0.9334841721212882	112.97653035456148	25.708034027585025	22.50746068204077	0.0100205404276513	-0.0077031214504682	28.777662357060212	16.00999008686945	2791.3514656520088	102.19430027155016	0.0601120150496101	28.0	3335.86582987195	0.8779581750428986	6	3	-17.333	14.733	14837	52.0
0.8978958009842297	111.1645077911223	26.428717524080305	25.37597319265532	0.0064301134922384	-0.0073080234496507	27.97133314419096	12.107441387652514	2783.583880607473	102.76718333442624	0.0493045709224338	-47.0	3332.261354270164	0.5184713282821922	6	15	-17.267	14.567	14693	49.0
0.8364262333449802	116.5706057347903	30.56245461292833	21.293625640824963	0.0147669780970362	-0.0071929264456482	30.153741325089545	26.94207522203668	2826.3370636215573	48.60526295146676	0.0902600984941825	25.0	3338.791913922585	0.5391702416465121	2	3	-17.217	14.733	14838	45.0
0.8364262333449802	116.5706057347903	30.56245461292833	21.293625640824963	0.0147669780970362	-0.0071929264456482	30.153741325089545	26.94207522203668	2826.3370636215573	48.60526295146676	0.0902600984941825	25.0	3338.791913922585	0.5391702416465121	2	3	-17.167	14.683	14838	70.9
0.8364262333449802	116.5706057347903	30.56245461292833	21.293625640824963	0.0147669780970362	-0.0071929264456482	30.153741325089545	26.94207522203668	2826.3370636215573	48.60526295146676	0.0902600984941825	25.0	3338.791913922585	0.5391702416465121	2	3	-17.16	14.7	14838	64.7
0.8364262333449802	116.5706057347903	30.56245461292833	21.293625640824963	0.0147669780970362	-0.0071929264456482	30.153741325089545	26.94207522203668	2826.3370636215573	48.60526295146676	0.0902600984941825	25.0	3338.791913922585	0.5391702416465121	2	3	-17.153	14.617	14838	47.0
0.8364262333449802	116.5706057347903	30.56245461292833	21.293625640824963	0.0147669780970362	-0.0071929264456482	30.153741325089545	26.94207522203668	2826.3370636215573	48.60526295146676	0.0902600984941825	25.0	3338.791913922585	0.5391702416465121	2	3	-17.138	14.618	14838	33.4
0.8364262333449802	116.5706057347903	30.56245461292833	21.293625640824963	0.0147669780970362	-0.0071929264456482	30.153741325089545	26.94207522203668	2826.3370636215573	48.60526295146676	0.0902600984941825	25.0	3338.791913922585	0.5391702416465121	2	3	-17.133	14.917	14838	44.0
0.8364262333449802	116.5706057347903	30.56245461292833	21.293625640824963	0.0147669780970362	-0.0071929264456482	30.153741325089545	26.94207522203668	2826.3370636215573	48.60526295146676	0.0902600984941825	25.0	3338.791913922585	0.5391702416465121	2	3	-17.13	14.68	14838	90.9
0.8364262333449802	116.5706057347903	30.56245461292833	21.293625640824963	0.0147669780970362	-0.0071929264456482	30.153741325089545	26.94207522203668	2826.3370636215573	48.60526295146676	0.0902600984941825	25.0	3338.791913922585	0.5391702416465121	2	3	-17.117	14.9	14838	58.6
0.7374091231578246	111.83275435229388	28.21095049844308	24.048228134436936	0.011513234988514	-0.0067973764932841	29.47377565401356	20.873040820237737	2806.708580378472	49.60299446137648	0.0381779434717413	10.0	3330.8270929342743	0.3444156326956035	2	3	-17.085	14.522	14694	52.0
0.7374091231578246	111.83275435229388	28.21095049844308	24.048228134436936	0.011513234988514	-0.0067973764932841	29.47377565401356	20.873040820237737	2806.708580378472	49.60299446137648	0.0381779434717413	10.0	3330.8270929342743	0.3444156326956035	2	3	-17.085	14.525	14694	39.3
0.8364262333449802	116.5706057347903	30.56245461292833	21.293625640824963	0.0147669780970362	-0.0071929264456482	30.153741325089545	26.94207522203668	2826.3370636215573	48.60526295146676	0.0902600984941825	25.0	3338.791913922585	0.5391702416465121	2	3	-17.083	14.833	14838	51.0
0.7374091231578246	111.83275435229388	28.21095049844308	24.048228134436936	0.011513234988514	-0.0067973764932841	29.47377565401356	20.873040820237737	2806.708580378472	49.60299446137648	0.0381779434717413	10.0	3330.8270929342743	0.3444156326956035	2	3	-17.067	14.533	14694	42.0
0.8364262333449802	116.5706057347903	30.56245461292833	21.293625640824963	0.0147669780970362	-0.0071929264456482	30.153741325089545	26.94207522203668	2826.3370636215573	48.60526295146676	0.0902600984941825	25.0	3338.791913922585	0.5391702416465121	2	3	-17.05	14.98	14838	65.0
