lon,lat,heat-flow (mW/m2),grid_index,dist_from_grid,VOLC_DIST,VOLC_DIST_W,LAND,CONTINENT,SV,PV,CTD,MOHO,SI,LAB,RHO_C,RHO_L,GEOID,FA,BG,DEM,EMAG2,EMAG2_CLASS,GLIM,REG,SV_SPEED,PV_SPEED
-17.217,14.733,45.0,14838,28486.524555364176,46.0829758353488,0.5391702416465121,1.0,2.0,0.014766978097036244,-0.00719292644564822,21.293625640824963,30.562454612928335,0.8364262333449802,116.5706057347903,2826.3370636215573,3338.791913922585,30.153741325089545,26.94207522203668,48.60526295146676,25.0,37.783565521240234,0.09026009849418257,3.0,2.0,4.456813865823077,8.074887258421272
-17.133,14.917,44.0,14838,18351.69250057207,46.0829758353488,0.5391702416465121,1.0,2.0,0.014766978097036244,-0.00719292644564822,21.293625640824963,30.562454612928335,0.8364262333449802,116.5706057347903,2826.3370636215573,3338.791913922585,30.153741325089545,26.94207522203668,48.60526295146676,25.0,37.783565521240234,0.09026009849418257,3.0,2.0,4.456813865823077,8.074887258421272
-17.067,14.533,42.0,14694,23226.829799153034,65.55843673043965,0.3444156326956035,1.0,2.0,0.011513234988514042,-0.006797376493284138,24.048228134436936,28.210950498443076,0.7374091231578246,111.83275435229389,2806.708580378472,3330.8270929342743,29.473775654013558,20.873040820237737,49.60299446137648,10.0,15.566433906555176,0.03817794347174132,3.0,2.0,4.44245850890584,8.078071141408884
-17.018,14.602,42.0,14838,27413.66989567483,46.0829758353488,0.5391702416465121,1.0,2.0,0.014766978097036244,-0.00719292644564822,21.293625640824963,30.562454612928335,0.8364262333449802,116.5706057347903,2826.3370636215573,3338.791913922585,30.153741325089545,26.94207522203668,48.60526295146676,25.0,37.783565521240234,0.09026009849418257,3.0,2.0,4.456813865823077,8.074887258421272
-11.756,12.841,31.8,14272,20411.631580655216,627.6370940105479,0.0,1.0,2.0,0.039215669360031596,0.007852603224683159,36.8301411055498,42.89037288439596,0.5067388291249105,159.49896135516667,2878.3055852910466,3346.7362277148177,31.82810343414122,10.357612540244208,-14.143934720059963,189.0,34.846519470214844,0.08352859291787097,8.0,1.0,4.5641534293985355,8.197220042341955
-10.333,6.817,58.0,12547,11447.828521370455,1165.42825460086,0.0,1.0,2.0,0.02435071754007196,0.005074490108282395,24.466614797423553,35.05735020050544,0.8814682258946638,117.78775233933159,2843.2637387742507,3324.371636076221,31.499676387105275,29.149774950453867,22.94109749993993,131.0,59.8251838684082,0.13938183507485313,8.0,2.0,4.498957095365471,8.17464113554908
-8.716,29.483,54.0,19030,20536.63672864461,459.84072805858216,0.0,1.0,2.0,-0.00038494394944013947,-0.003743859721888793,27.445318515519336,37.67099212719907,0.35284369645200864,113.34027713747327,2826.134641265744,3323.657438316747,45.05170635861887,34.9001572474208,-47.07893757065965,778.0,-28.819242477416992,-0.06957093682229284,3.0,3.0,4.390312271064616,8.102812010011988
-8.667,7.45,54.0,12695,32254.214281200326,1282.6063121890088,0.0,1.0,2.0,0.039489198569149814,0.007782992204366602,34.765094894115144,40.58274907893993,0.814098946662188,133.20632934369957,2868.445189166767,3328.2230329677823,32.6516447396314,29.12068022893262,-6.952736222144702,336.0,-21.603450775146484,-0.05260063503621118,8.0,1.0,4.565427717259902,8.196510294420545
-8.667,7.45,54.0,12695,32254.214281200326,1282.6063121890088,0.0,1.0,2.0,0.039489198569149814,0.007782992204366602,34.765094894115144,40.58274907893993,0.814098946662188,133.20632934369957,2868.445189166767,3328.2230329677823,32.6516447396314,29.12068022893262,-6.952736222144702,336.0,-21.603450775146484,-0.05260063503621118,8.0,1.0,4.565427717259902,8.196510294420545
-8.633,7.567,58.0,12839,34880.38245109643,1246.8584557686793,0.0,1.0,2.0,0.0440843914670102,0.008174421557737649,37.964713631113455,42.71342312845966,0.8386904761313099,142.9101886864543,2868.189372599658,3331.3237217813066,33.9578038809433,36.03896262409606,-12.764186104576197,427.0,1.8089123964309692,0.004512086202639804,8.0,1.0,4.585607549714609,8.199646585206008
-8.2,5.667,54.0,12263,27623.661403852373,1397.58043447568,0.0,1.0,2.0,0.02538097299094419,0.006489396313560634,24.82491603392579,34.97222823894535,0.6891028549781872,115.92413514303632,2844.9614617720235,3328.0365994153617,30.83225249127316,27.86086417052487,7.883763073999968,253.0,-140.28050231933594,-0.30062390632305475,8.0,1.0,4.50342315254998,8.186155572966111
-7.162,37.985,80.0,21481,22022.71167669312,521.3689729949589,0.0,1.0,7.0,-0.0018084906737869605,0.00430058759754374,25.4258261585847,29.882658856358365,0.8145454618428963,91.53069737530089,2778.824418958232,3290.232035193736,54.874743685656085,56.97218679241168,33.71061637379979,221.0,31.259429931640625,0.07524528750667107,5.0,6.0,4.383967048608618,8.168223966761055
-5.823,34.167,67.0,20332,22752.500750271178,71.91207812883304,0.28087921871166954,1.0,2.0,-0.008214346918426249,-0.004567853863444744,26.294259979990798,33.43843648927472,-0.15316628627189346,69.37356296185405,2750.31448564891,3272.9882895584037,47.226775069173044,5.193973778032246,-39.9098350615607,637.0,113.49958801269531,0.24978467994812847,1.0,3.0,4.355789618310979,8.096037868559938
-5.77,34.235,71.0,20476,29465.479032907828,112.11450946194202,0.0,1.0,2.0,-0.004324780094778675,-0.005232211408207682,25.96827097746367,32.70731833968398,-0.6098231845404072,70.13802840059671,2738.462517853848,3277.091512979141,44.925349881333744,-20.45892973274354,-47.38341343044394,46.0,-107.43313598632812,-0.23790040337685847,1.0,3.0,4.372905426976416,8.090856053095653
-4.518,34.223,65.0,20335,30120.571309151852,79.52049973239451,0.20479500267605488,1.0,2.0,-0.026413782586425953,-0.0049935978472393575,28.092168187072648,33.74970070282844,0.30197512297232665,66.69235140086222,2750.831688786433,3273.410010994702,50.685378595775816,48.117524473779056,-60.420998440177655,1460.0,55.952842712402344,0.13092484195431267,6.0,3.0,4.276073995549218,8.092683956270962
-4.333,34.322,72.0,20479,18002.493081342913,100.42434969662638,0.0,1.0,2.0,-0.0217303377091543,-0.001728792340049423,27.041618498449445,30.902841061936165,0.059125357928583804,68.3746778727336,2743.819390942636,3275.06432221006,50.2519580313402,48.53225928658627,-56.01106919037457,444.0,9.749454498291016,0.024081339211327282,9.0,3.0,4.296594377057561,8.119310958466327
-3.868,34.475,81.0,20480,1851.1804780829998,54.3349828243324,0.456650171756676,1.0,2.0,-0.02738571153609812,-0.0019465127646354457,28.271397170484963,30.943460500452257,0.28196339919134566,68.69010517738377,2741.973574301271,3275.292919466984,50.14531527759611,47.04191269415087,-36.71445378966827,517.0,13.037596702575684,0.03207407488793189,3.0,3.0,4.2716756968475895,8.11746570133571
