lon,lat,heat-flow (mW/m2),grid_index,dist_from_grid,VOLC_DIST,VOLC_DIST_W,LAND,CONTINENT,SV,PV,SV_SPEED,PV_SPEED,CTD,MOHO,SI,LAB,RHO_C,RHO_L,GEOID,FA,BG,DEM,EMAG2,EMAG2_CLASS,GLIM,REG
42.643,11.527,46.5,13948,32247.682673167717,28.798870985386124,0.7120112901461388,1.0,2.0,-0.05627248094124309,-0.010251126764396178,4.144764073003282,8.05001397886986,32.85035093427315,24.386922224582865,0.668643277627837,67.08584929206046,2748.5693261736956,3260.3461989570387,-11.4015030558912,16.781237321113256,-49.847740329466006,330.0,-73.77093505859375,-0.1692593984095961,2.0,4.0
42.652,20.087,44.0,16396,32480.347365509937,155.768645124326,0.0,1.0,6.0,-0.06675792898846966,-0.00822452629215104,4.098803774946215,8.066355519791793,33.26967738593641,36.3151569402588,0.42164163198293003,74.17149207003729,2838.79479341758,3300.8839438072564,1.7104139165986714,32.376193066195846,-104.47832032734973,1518.0,-29.65536880493164,-0.0715188723370135,8.0,4.0
42.688,11.118,131.2,13949,35401.10817501113,58.40356792926647,0.41596432070733524,1.0,2.0,-0.05423983485242923,-0.008254282074635567,4.1537179090632055,8.066179364143466,31.61093969842699,23.35867774349896,0.634170685542105,67.57884991540537,2753.4637412970174,3262.3420891653896,-12.926828437179113,13.111271110004525,-32.34316545109852,675.0,-78.53645324707031,-0.17926784321782557,2.0,4.0
42.706,11.134,17.7,13949,32753.41800974139,58.40356792926647,0.41596432070733524,1.0,2.0,-0.05423983485242923,-0.008254282074635567,4.1537179090632055,8.066179364143466,31.61093969842699,23.35867774349896,0.634170685542105,67.57884991540537,2753.4637412970174,3262.3420891653896,-12.926828437179113,13.111271110004525,-32.34316545109852,675.0,-78.53645324707031,-0.17926784321782557,2.0,4.0
42.8,0.083,56.0,10781,23879.00922128748,564.0614365222505,0.0,1.0,2.0,-0.01368206572421851,-0.008585894127172236,4.33185741743987,8.06361560772421,18.66402230583236,24.241518735000923,-0.6713390887847535,93.6767658144297,2756.2873851287163,3313.0736032629466,-34.81560281583429,-0.23860679712769706,34.33745369746852,13.0,3.4881293773651123,0.008682521030150221,1.0,5.0
42.833,4.7,39.0,12077,14464.238576490823,532.2492361843312,0.0,1.0,2.0,0.00826917664168868,-0.011335490043323938,4.428198762054766,8.041082553381555,27.902233274826763,34.50688059425052,-0.5489656282187458,82.91559014824949,2794.218057524644,3295.4151864717287,-29.136171440251218,-21.58395553092737,-70.6046855489142,388.0,-11.413414001464844,-0.0281340353193894,2.0,3.0
42.996,11.552,30.8,13949,26353.329939788207,58.40356792926647,0.41596432070733524,1.0,2.0,-0.05423983485242923,-0.008254282074635567,4.1537179090632055,8.066179364143466,31.61093969842699,23.35867774349896,0.634170685542105,67.57884991540537,2753.4637412970174,3262.3420891653896,-12.926828437179113,13.111271110004525,-32.34316545109852,675.0,-78.53645324707031,-0.17926784321782557,2.0,4.0
43.013,11.545,337.9,13949,26125.72487825206,58.40356792926647,0.41596432070733524,1.0,2.0,-0.05423983485242923,-0.008254282074635567,4.1537179090632055,8.066179364143466,31.61093969842699,23.35867774349896,0.634170685542105,67.57884991540537,2753.4637412970174,3262.3420891653896,-12.926828437179113,13.111271110004525,-32.34316545109852,675.0,-78.53645324707031,-0.17926784321782557,2.0,4.0
43.131,11.537,22.3,13949,31899.005600544537,58.40356792926647,0.41596432070733524,1.0,2.0,-0.05423983485242923,-0.008254282074635567,4.1537179090632055,8.066179364143466,31.61093969842699,23.35867774349896,0.634170685542105,67.57884991540537,2753.4637412970174,3262.3420891653896,-12.926828437179113,13.111271110004525,-32.34316545109852,675.0,-78.53645324707031,-0.17926784321782557,2.0,4.0
43.135,11.523,175.4,13949,31052.066239939228,58.40356792926647,0.41596432070733524,1.0,2.0,-0.05423983485242923,-0.008254282074635567,4.1537179090632055,8.066179364143466,31.61093969842699,23.35867774349896,0.634170685542105,67.57884991540537,2753.4637412970174,3262.3420891653896,-12.926828437179113,13.111271110004525,-32.34316545109852,675.0,-78.53645324707031,-0.17926784321782557,2.0,4.0
43.14,11.528,301.0,13949,31830.42995432896,58.40356792926647,0.41596432070733524,1.0,2.0,-0.05423983485242923,-0.008254282074635567,4.1537179090632055,8.066179364143466,31.61093969842699,23.35867774349896,0.634170685542105,67.57884991540537,2753.4637412970174,3262.3420891653896,-12.926828437179113,13.111271110004525,-32.34316545109852,675.0,-78.53645324707031,-0.17926784321782557,2.0,4.0
43.153,11.384,124.1,13949,24525.583674281006,58.40356792926647,0.41596432070733524,1.0,2.0,-0.05423983485242923,-0.008254282074635567,4.1537179090632055,8.066179364143466,31.61093969842699,23.35867774349896,0.634170685542105,67.57884991540537,2753.4637412970174,3262.3420891653896,-12.926828437179113,13.111271110004525,-32.34316545109852,675.0,-78.53645324707031,-0.17926784321782557,2.0,4.0
43.168,11.403,92.3,13949,26733.034002083572,58.40356792926647,0.41596432070733524,1.0,2.0,-0.05423983485242923,-0.008254282074635567,4.1537179090632055,8.066179364143466,31.61093969842699,23.35867774349896,0.634170685542105,67.57884991540537,2753.4637412970174,3262.3420891653896,-12.926828437179113,13.111271110004525,-32.34316545109852,675.0,-78.53645324707031,-0.17926784321782557,2.0,4.0
43.175,11.486,68.5,13949,31695.288831130787,58.40356792926647,0.41596432070733524,1.0,2.0,-0.05423983485242923,-0.008254282074635567,4.1537179090632055,8.066179364143466,31.61093969842699,23.35867774349896,0.634170685542105,67.57884991540537,2753.4637412970174,3262.3420891653896,-12.926828437179113,13.111271110004525,-32.34316545109852,675.0,-78.53645324707031,-0.17926784321782557,2.0,4.0
43.181,11.5,82.6,13949,33136.9398983903,58.40356792926647,0.41596432070733524,1.0,2.0,-0.05423983485242923,-0.008254282074635567,4.1537179090632055,8.066179364143466,31.61093969842699,23.35867774349896,0.634170685542105,67.57884991540537,2753.4637412970174,3262.3420891653896,-12.926828437179113,13.111271110004525,-32.34316545109852,675.0,-78.53645324707031,-0.17926784321782557,2.0,4.0
