index	SI	LAB	MOHO	CTD	SV	PV	GEOID	FA	RHO_C	BG	EMAG2_CLASS	DEM	RHO_L	VOLC_DIST_W	REG	GLIM	lon	lat	grid_index	heat-flow (mW/m2)
3195	0.0685124018805513	131.05199081018847	34.08922799211654	27.20200479345968	0.0160516112813509	0.000792593335738	-26.89560501931689	0.6335784244969648	2751.40961982621	-16.467202597214136	-0.002030124291448	153.0	3311.706544216985	0.0	2	1	-96.5	31.75	822560	75.5
3196	0.0685124018805513	131.05199081018847	34.08922799211654	27.20200479345968	0.0160516112813509	0.000792593335738	-26.89560501931689	0.6335784244969648	2751.40961982621	-16.467202597214136	-0.002030124291448	153.0	3311.706544216985	0.0	2	1	-96.5	31.75	822560	74.7
3197	0.0685124018805513	131.05199081018847	34.08922799211654	27.20200479345968	0.0160516112813509	0.000792593335738	-26.89560501931689	0.6335784244969648	2751.40961982621	-16.467202597214136	-0.002030124291448	153.0	3311.706544216985	0.0	2	1	-96.5	31.76	822560	83.5
3198	0.7742771202241393	244.0397604756222	43.91777323481171	39.00965788877786	0.0700982950098028	0.0024464241289079	-26.315493065315064	8.808498613594084	2884.70208714197	-37.077510846444966	-0.0742371420624689	387.0	3346.110289917828	0.0	1	3	-96.46	41.778	912510	38.0
3199	-0.2170371289808243	211.9738929458785	41.56119074548104	40.02655760940893	0.0657334066542226	0.0028584954714933	-28.352698617161213	-6.010102526425382	2878.705230192004	-48.68818520023551	0.0220103707383028	430.0	3348.8000117427537	0.0	1	3	-96.458	40.05	898118	51.0
3200	0.1510970583905962	134.22784380663933	34.70098590047131	28.689744423528737	0.0177691351120222	0.0015662390696247	-26.88309373052457	0.4127436592263633	2761.3341002802786	-16.93805445608102	-0.0349479837992613	130.0	3311.0409756724566	0.0	2	1	-96.45	31.78	824359	71.0
3201	0.1510970583905962	134.22784380663933	34.70098590047131	28.689744423528737	0.0177691351120222	0.0015662390696247	-26.88309373052457	0.4127436592263633	2761.3341002802786	-16.93805445608102	-0.0349479837992613	130.0	3311.0409756724566	0.0	2	1	-96.44	31.78	824359	74.4
3202	0.3551317169892464	138.01362452617258	35.183992585144736	29.171250257730883	0.0182160299656247	0.001213820514481	-26.710990808984302	3.419706733212929	2760.9845699327007	-11.456566426996542	-0.1108184552605799	100.0	3309.329466869304	0.0	2	1	-96.39	32.027	826159	75.6
3203	-0.4175404462377956	195.6718072177835	41.09457869284879	34.32137432990699	0.0591710698182939	0.0063888780001554	-30.20193192459456	-22.290592171931188	2880.5463688518785	-61.28944999829071	-0.0325783631801072	407.0	3350.3121499380904	0.0	1	5	-96.39	38.718	885526	59.4
3204	0.3551317169892464	138.01362452617258	35.183992585144736	29.171250257730883	0.0182160299656247	0.001213820514481	-26.710990808984302	3.419706733212929	2760.9845699327007	-11.456566426996542	-0.1108184552605799	100.0	3309.329466869304	0.0	2	1	-96.38	32.02	826159	50.0
3205	0.3551317169892464	138.01362452617258	35.183992585144736	29.171250257730883	0.0182160299656247	0.001213820514481	-26.710990808984302	3.419706733212929	2760.9845699327007	-11.456566426996542	-0.1108184552605799	100.0	3309.329466869304	0.0	2	1	-96.38	32.05	826159	89.4
3206	0.3551317169892464	138.01362452617258	35.183992585144736	29.171250257730883	0.0182160299656247	0.001213820514481	-26.710990808984302	3.419706733212929	2760.9845699327007	-11.456566426996542	-0.1108184552605799	100.0	3309.329466869304	0.0	2	1	-96.38	32.05	826159	57.3
3207	0.3551317169892464	138.01362452617258	35.183992585144736	29.171250257730883	0.0182160299656247	0.001213820514481	-26.710990808984302	3.419706733212929	2760.9845699327007	-11.456566426996542	-0.1108184552605799	100.0	3309.329466869304	0.0	2	1	-96.37	32.1	826159	56.0
3208	0.3551317169892464	138.01362452617258	35.183992585144736	29.171250257730883	0.0182160299656247	0.001213820514481	-26.710990808984302	3.419706733212929	2760.9845699327007	-11.456566426996542	-0.1108184552605799	100.0	3309.329466869304	0.0	2	1	-96.37	32.1	826159	59.8
3209	-0.3662573843765067	209.34494361918289	41.26411464093541	38.53101614035968	0.0639281868623749	0.0038880030733682	-29.239850065312684	-12.505573586996045	2878.6426006926085	-52.34926799997102	0.049414643983789	420.0	3350.2997673370937	0.0	1	1	-96.36	39.733	894521	41.9
3210	-0.4013852346836636	199.00520655449537	40.962848846645805	37.27931626958268	0.0627058293424915	0.0044505642533142	-30.02184607375052	-20.638758442525432	2878.662166837656	-59.72049472948999	-0.1286640048320456	301.0	3350.946360001649	0.0	1	1	-96.35	39.198	890923	68.9
3211	-0.3662573843765067	209.34494361918289	41.26411464093541	38.53101614035968	0.0639281868623749	0.0038880030733682	-29.239850065312684	-12.505573586996045	2878.6426006926085	-52.34926799997102	0.049414643983789	420.0	3350.2997673370937	0.0	1	1	-96.35	39.728	894521	42.2
3212	-0.4159881426898678	196.83546642430628	41.00703677068976	35.00611892210773	0.0605549917238538	0.0056622034954289	-30.196916626927276	-22.57502679034993	2880.078613946243	-61.50984296736941	-0.0699704081703368	459.0	3350.6563511668446	0.0	1	5	-96.31	38.882	887325	65.3
3213	0.2764678287172224	160.77338081942537	38.854835149926025	34.80152426052121	0.0281980583352549	0.0065804066371357	-27.313528060489368	-2.350128294415053	2783.436429174408	-21.1691377483033	0.207676575265659	204.0	3308.818433964242	0.0	2	1	-96.29	33.45	838752	46.5
