lon,lat,heat-flow (mW/m2),grid_index,dist_from_grid,VOLC_DIST,VOLC_DIST_W,LAND,CONTINENT,SV,PV,CTD,MOHO,SI,LAB,RHO_C,RHO_L,GEOID,FA,BG,DEM,EMAG2,EMAG2_CLASS,GLIM,REG,SV_SPEED,PV_SPEED
-124.545,49.757,33.0,984330,4864.0479884341075,96.02556196231062,0.03974438037689376,1.0,8.0,0.0018560521307501641,-0.012590078189435437,28.699601469413167,31.49520317009971,0.34579068634816335,78.5539252442354,2844.1505613302797,3279.4464242485583,-14.961570462766158,14.349930517860342,-51.147246072742895,-6.0,10.917511940002441,0.026927946369230186,13.0,3.0,,
-124.543,49.757,42.0,984330,4852.089121823637,95.88284824980522,0.04117151750194781,1.0,8.0,0.0018560521307501641,-0.012590078189435437,28.699601469413167,31.49520317009971,0.34579068634816335,78.5539252442354,2844.1505613302797,3279.4464242485583,-14.961570462766158,14.349930517860342,-51.147246072742895,-6.0,10.917511940002441,0.026927946369230186,13.0,3.0,,
-124.54,49.752,33.0,984330,4286.309329761745,95.60608810283328,0.043939118971667135,1.0,8.0,0.0018560521307501641,-0.012590078189435437,28.699601469413167,31.49520317009971,0.34579068634816335,78.5539252442354,2844.1505613302797,3279.4464242485583,-14.961570462766158,14.349930517860342,-51.147246072742895,-6.0,10.917511940002441,0.026927946369230186,13.0,3.0,,
-124.537,49.713,27.0,984330,111.7069157587724,95.01185576639,0.049881442336100035,1.0,8.0,0.0018560521307501641,-0.012590078189435437,28.699601469413167,31.49520317009971,0.34579068634816335,78.5539252442354,2844.1505613302797,3279.4464242485583,-14.961570462766158,14.349930517860342,-51.147246072742895,-6.0,10.917511940002441,0.026927946369230186,13.0,3.0,,
-124.533,49.75,32.8,984330,4080.6627259891784,95.08192071892358,0.04918079281076415,1.0,8.0,0.0018560521307501641,-0.012590078189435437,28.699601469413167,31.49520317009971,0.34579068634816335,78.5539252442354,2844.1505613302797,3279.4464242485583,-14.961570462766158,14.349930517860342,-51.147246072742895,-6.0,10.917511940002441,0.026927946369230186,13.0,3.0,,
-124.533,49.75,34.7,984330,4080.6627259891784,95.08192071892358,0.04918079281076415,1.0,8.0,0.0018560521307501641,-0.012590078189435437,28.699601469413167,31.49520317009971,0.34579068634816335,78.5539252442354,2844.1505613302797,3279.4464242485583,-14.961570462766158,14.349930517860342,-51.147246072742895,-6.0,10.917511940002441,0.026927946369230186,13.0,3.0,,
-124.533,49.75,32.6,984330,4080.6627259891784,95.08192071892358,0.04918079281076415,1.0,8.0,0.0018560521307501641,-0.012590078189435437,28.699601469413167,31.49520317009971,0.34579068634816335,78.5539252442354,2844.1505613302797,3279.4464242485583,-14.961570462766158,14.349930517860342,-51.147246072742895,-6.0,10.917511940002441,0.026927946369230186,13.0,3.0,,
-124.47,44.222,39.9,935757,10052.48742281137,196.35926462673442,0.0,,,-0.0014938469530430144,-0.010770325515337405,25.79489637422548,24.81353806119556,-0.5986631826186001,75.67263506302896,2787.3287458172435,3279.4059249945412,-25.134694770111103,-0.21827850541264437,37.89474107785399,-101.0,60.0506477355957,0.13987204008721724,15.0,3.0,,
-124.42,44.497,44.7,937557,6494.097317077699,175.6154692387954,0.0,,,-0.00031750995545533106,-0.010736523105816909,26.018224875390327,25.100329063371333,-0.3213434002720273,75.67769194570155,2789.6952057159747,3279.041390241492,-23.754079869252493,3.97880300738457,14.992025512060234,-70.0,-3.4028234663852886e+38,-1.0,15.0,3.0,,
-124.41,46.152,39.5,951949,7756.321909884602,171.7795302009662,0.0,,,0.007780351486812959,-0.01046090786299577,28.258954719189777,26.581132818141796,-0.3046909845726984,77.71671358657653,2785.232976405654,3278.8286780740746,-23.17765306621335,-11.00485194576866,7.613329233016274,-102.0,-6.847443103790283,-0.016973735398468606,15.0,3.0,,
