index	CTD	SI	LAB	MOHO	SV	PV	GEOID	FA	DEM	BG	EMAG2_CLASS	RHO_L	RHO_C	VOLC_DIST_W	REG	GLIM	lon	lat	grid_index	heat-flow (mW/m2)
2745	27.86613338946881	0.1069545442218725	128.89770875239586	34.33370615976696	0.0414485262778178	0.0021454420005244	49.03588679850017	-3.2046357648120183	89.0	-10.1767576445893	-0.0619686234216104	3344.9135707828045	2842.204745476502	0.0	2	6	-0.993	53.158	1015530	120.0
2746	27.86613338946881	0.1069545442218725	128.89770875239586	34.33370615976696	0.0414485262778178	0.0021454420005244	49.03588679850017	-3.2046357648120183	89.0	-10.1767576445893	-0.0619686234216104	3344.9135707828045	2842.204745476502	0.0	2	6	-0.987	53.143	1015530	114.0
2747	27.86613338946881	0.1069545442218725	128.89770875239586	34.33370615976696	0.0414485262778178	0.0021454420005244	49.03588679850017	-3.2046357648120183	89.0	-10.1767576445893	-0.0619686234216104	3344.9135707828045	2842.204745476502	0.0	2	6	-0.98	53.125	1015530	82.0
2748	27.566660631319213	0.1205904023549509	128.20804228312647	34.248381845886406	0.0397036723702888	0.0009863811393737	49.04662971510219	-1.730693096713682	35.0	-9.53012353863846	-0.0885966460213755	3340.62182031988	2843.75231464113	0.0	2	6	-0.967	53.317	1017329	83.0
2749	27.566660631319213	0.1205904023549509	128.20804228312647	34.248381845886406	0.0397036723702888	0.0009863811393737	49.04662971510219	-1.730693096713682	35.0	-9.53012353863846	-0.0885966460213755	3340.62182031988	2843.75231464113	0.0	2	6	-0.95	53.417	1017329	75.0
2750	27.06519437233661	0.1320048200233339	125.47012632037672	33.973148197736904	0.0378794178764202	-0.0003019288953322	48.95890640043651	-1.312839383807878	9.0	-7.743939752277306	-0.0384719429831119	3338.4560539343142	2844.606843664397	0.0	2	6	-0.933	53.467	1019128	85.0
2751	27.86613338946881	0.1069545442218725	128.89770875239586	34.33370615976696	0.0414485262778178	0.0021454420005244	49.03588679850017	-3.2046357648120183	89.0	-10.1767576445893	-0.0619686234216104	3344.9135707828045	2842.204745476502	0.0	2	6	-0.902	53.133	1015530	70.0
2752	27.819469042237408	0.0417423320498878	129.78571434854445	34.39915560296668	0.0420208625097857	0.0022700784950094	48.72410528055505	-2.059945134486232	19.0	-9.424861062576625	0.0041649447416895	3341.630220109362	2842.473178745793	0.0	1	5	-0.865	53.11	1015531	61.0
2753	35.40322872551027	-0.1969367924875223	168.89054566178868	45.2736452099688	0.0674159900119839	0.0042137917724393	25.07429195319274	-1.376873385953417	136.0	-22.354377288751024	-0.0287456541804813	3364.781538837168	2879.546845202216	0.0	1	8	-0.667	10.167	630546	40.0
2754	29.5655637329406	-0.1647126519169929	146.85944862425342	35.48706790943076	0.0518284932408692	0.0078991006107228	46.881315714948016	-1.2341769111938103	46.0	-10.980817766655322	-0.1095471824780891	3335.8887129799823	2836.7110506679155	0.0	1	3	0.033	52.167	1006540	54.0
2755	27.90950514110739	0.8277426449933385	73.92769937139647	23.29610832933082	-0.0306812817447156	-0.0031424585418583	48.52154287285998	-3.194488398842907	-914.0	95.99235582099544	0.1626752674121694	3275.480775397871	2722.9980156628126	0.0	4	15	0.415	38.051	880612	87.7
2756	30.414865402276867	-0.4242884763068828	147.42708067778543	35.8153493737364	0.0442464906889117	0.0098437147188216	45.90228630152207	-12.011669592954522	-35.0	-14.89950421888887	0.1194052543041708	3328.145601632851	2835.141520603638	0.0	2	6	0.45	50.783	993949	30.0
2757	28.70571616270331	0.0617814867323973	99.9269526431964	29.67052194123321	0.0059295782816165	-0.0020112438573142	49.12411729145416	3.7322678574430688	206.0	-21.281970942593304	0.0061020667580225	3310.2025747454154	2785.875609977741	0.0	6	3	1.083	45.083	943580	90.0
2758	29.356590797819656	0.1325934242234091	102.3138499049026	29.15014337758803	0.0072683818196347	-0.0002789346089618	49.03030434089965	3.523500612148348	330.0	-27.00308125576692	0.0031625569216164	3313.175017385859	2781.5107176926167	0.0	6	3	1.183	45.567	947179	109.0
2759	27.248346621009414	0.3848458051404138	88.38876341485745	30.415323554892964	-0.0054278976038603	-0.0020962078390362	50.99477988974049	14.089898340287206	167.0	-41.74426194752759	-0.1948302412830892	3296.771874840663	2771.317367802168	0.0	3	5	1.373	43.453	929190	84.0
2760	29.825811964402888	0.092911823785451	105.22763316688273	29.53274145515055	0.0089911150821389	0.0029423187537758	49.09008135427497	7.808510261451394	542.0	-29.1556403578871	0.0547301093332437	3318.278537580704	2786.702729864621	0.0	6	9	1.383	46.083	952577	90.0
2761	29.77006763678164	0.2269502936772048	103.25876801868807	29.2834069762246	0.0078964343652389	0.0014572331100753	49.32683102554158	10.935505955004064	463.0	-29.72849797833297	-0.0630403050389458	3313.758213700081	2777.850849689029	0.0	6	9	1.6	45.883	950779	93.0
2762	29.865909043547585	0.1625228371087914	102.408292778008	28.47863504204233	0.0084175100081179	0.0024694117679145	49.2479796226432	10.128704250073822	501.0	-29.63955406145293	0.1155362253407724	3316.6701760205533	2784.131116941938	0.0	6	9	1.6	46.025	952578	97.0
2763	36.41185404051221	0.5528999827886077	72.8720649694236	20.4609573624311	-0.0313308401541017	-0.0053062399001037	48.480546491090045	16.83377739978205	-1009.0	92.62964899115572	-0.3147470295817917	3285.045559483988	2721.902382978612	0.0	4	15	2.144	39.178	889616	67.3
2764	28.48712395959114	0.7234427265138395	86.54168837985628	26.401928384245995	0.0013495671246715	-0.0061907094015956	50.81502580385276	26.91537783970297	630.0	-35.276257545196586	0.4128451621122208	3296.958811360985	2746.8825609797977	0.4338409318192258	6	8	2.333	45.533	947185	91.0
2765	27.750539791511404	0.874297644614127	89.27527546888292	27.257388754114867	0.0009767966912911	-0.0052874433150383	50.84211238777776	26.90840139589689	931.0	-41.66219984068826	0.0907742639454488	3296.500078482737	2738.999529334232	0.9736363785535298	6	5	2.938	45.772	948987	73.0
2766	28.987410519125383	0.8138789314810425	94.04012933577246	28.00825410961533	0.0041872243780853	-0.0010835695985745	50.42311562160837	23.44534537940368	603.0	-40.42456224601322	0.0332747216941794	3295.986930503349	2749.2179946817823	0.5584412520128001	6	5	2.957	46.177	952585	150.0
2767	27.547341794577587	0.9161933817315018	86.83339639823635	27.2120759372888	-0.0029500358719954	-0.0090442001279825	51.815817181037936	32.88998655657957	1130.0	-44.90722091817385	0.3182145279289911	3295.7037856178367	2725.231928990021	0.5445761977794966	6	8	3.082	45.378	945389	70.0
